fips,year_x,pct_two_party_rep,rep_margin,totalvotes,YEAR,religious_frac,year_y,area,year,population,white_pct,hispanic_pct,black_pct,edu_2018,inc_2018,density,log_inc
02901,2020,0.5020497803806735,0.0039177277179236044,7147,,,,,,,,,,,,,
02910,2020,0.7445916325169161,0.47186982901268615,10878,,,,,,,,,,,,,
02911,2020,0.6931953840031835,0.37171021150349315,10449,,,,,,,,,,,,,
02912,2020,0.7274872569378894,0.4391399416909621,10976,,,,,,,,,,,,,
02913,2020,0.6356374807987711,0.2576221735959154,6855,,,,,,,,,,,,,
02914,2020,0.6078712719073486,0.2077781068009081,10131,,,,,,,,,,,,,
02915,2020,0.509556815795001,0.018240128282220887,4989,,,,,,,,,,,,,
02916,2020,0.45431996692848287,-0.08777969018932874,7553,,,,,,,,,,,,,
02917,2020,0.40478062588457303,-0.18315184513006655,6612,,,,,,,,,,,,,
02918,2020,0.3707734726454796,-0.24947471634682727,7139,,,,,,,,,,,,,
02919,2020,0.3870899470899471,-0.2170905391658189,4915,,,,,,,,,,,,,
02902,2020,0.634327041806315,0.25286402125186785,6023,,,,,,,,,,,,,
02920,2020,0.3244776119402985,-0.3413147583804963,6891,,,,,,,,,,,,,
02921,2020,0.4066321730950141,-0.18051608502898717,8797,,,,,,,,,,,,,
02922,2020,0.5086986778009742,0.016888088268408017,8882,,,,,,,,,,,,,
02923,2020,0.49336602249783673,-0.012816940651992199,7178,,,,,,,,,,,,,
02924,2020,0.5315163632537093,0.06125370692299826,9779,,,,,,,,,,,,,
02925,2020,0.48810090433127085,-0.023033513762524473,8683,,,,,,,,,,,,,
02926,2020,0.5374685482988732,0.07275624004248539,9415,,,,,,,,,,,,,
02927,2020,0.4763687412260178,-0.04568585321723397,8843,,,,,,,,,,,,,
02928,2020,0.4964617614459886,-0.006905732590065729,12019,,,,,,,,,,,,,
02929,2020,0.7140803220550177,0.4162706178361756,10731,,,,,,,,,,,,,
02903,2020,0.7623624636398129,0.4997590941941701,8302,,,,,,,,,,,,,
02930,2020,0.731560717196414,0.4468252408099076,10174,,,,,,,,,,,,,
02931,2020,0.5802469135802469,0.155299055613851,12389,,,,,,,,,,,,,
02932,2020,0.5588235294117647,0.11215403128760529,8310,,,,,,,,,,,,,
02933,2020,0.28864129921631576,-0.40882111222719386,10951,,,,,,,,,,,,,
02934,2020,0.440873786407767,-0.11358761540613634,10723,,,,,,,,,,,,,
02935,2020,0.48767263427109975,-0.0238684757848866,10097,,,,,,,,,,,,,
02936,2020,0.5740761541053577,0.1420723825937096,9284,,,,,,,,,,,,,
02937,2020,0.5010073875083949,0.0019212295869356388,3123,,,,,,,,,,,,,
02938,2020,0.3788181558664002,-0.22342105263157894,3800,,,,,,,,,,,,,
02939,2020,0.3456241670368725,-0.28826213189547906,4822,,,,,,,,,,,,,
02904,2020,0.4468309521526513,-0.1018085008721197,10893,,,,,,,,,,,,,
02940,2020,0.4667942060672315,-0.06194239102727504,3923,,,,,,,,,,,,,
02905,2020,0.4941896024464832,-0.011126727570859685,8538,,,,,,,,,,,,,
02906,2020,0.638524498262137,0.26481620405101275,9331,,,,,,,,,,,,,
02907,2020,0.7594376176242665,0.4985109551159328,9402,,,,,,,,,,,,,
02908,2020,0.7940705982723686,0.5679711637487127,9710,,,,,,,,,,,,,
02909,2020,0.7375886524822695,0.4562856616970366,10866,,,,,,,,,,,,,
01001,2020,0.7262438450797384,0.4455298672166142,27639,2010,0.6766414395924575,2010,594.44,2019,55869,0.7626232794573019,0.029909252000214787,0.20113121766990638,27.7,58786,4.5431451577092465,10.981659010299452
01003,2020,0.7733312228233038,0.5389049520400202,108945,2010,0.5297725838751268,2010,1589.78,2019,223234,0.874409812125393,0.04718815234238512,0.0877688882517896,31.3,55962,4.944624906776285,10.93242816795492
01005,2020,0.540136841090874,0.07965955819068567,10457,2010,0.5491131587573297,2010,884.88,2019,24686,0.49153366280482863,0.04524831888519809,0.4822976585919144,12.2,34186,3.328539517709875,10.439571482516213
01007,2020,0.7911485774499473,0.5772485114384206,9573,2010,0.49958542439450143,2010,622.58,2019,22394,0.7676609806198089,0.027819951772796284,0.21269089934803964,11.5,45340,3.5826762106822785,10.72194492406152
01009,2020,0.9034971714054809,0.8000291343457518,27459,2010,0.6588744286661317,2010,644.78,2019,57826,0.9582540725625152,0.0965309722270259,0.016912807387680282,12.6,48695,4.496284607166615,10.7933316343953
01011,2020,0.2494543867306853,-0.4988051270910276,4603,2010,0.5708264614256918,2010,622.81,2019,10101,0.26621126621126623,0.08553608553608553,0.7026037026037026,13.3,32152,2.786148211479299,10.378229936129037
01013,2020,0.579512817785342,0.15793365729980985,9466,2010,0.5922089081968779,2010,776.83,2019,19448,0.5207219251336899,0.01486013986013986,0.44976347182229537,16.1,39109,3.2202779797851737,10.574107898514463
01015,2020,0.6981350585040533,0.39110813314151704,50743,2010,0.712318253887933,2010,605.87,2019,113605,0.7510408872848906,0.040614409577043264,0.21313322477003652,18.0,45197,5.2338173567809525,10.718785991936208
01017,2020,0.5791843220338984,0.1566572794551051,15269,2010,0.6509133421014175,2010,596.53,2019,33254,0.5704576893005353,0.02619233776387803,0.4019065375593914,13.2,39872,4.020800805948985,10.593429602147125
01019,2020,0.8670880880059109,0.7285539714867617,12275,2010,0.479048828350456,2010,553.7,2019,26196,0.9317834783936478,0.017140021377309512,0.04096045197740113,12.9,41014,3.8567389825090226,10.621668750815715
