fips,year_x,pct_two_party_rep,rep_margin,totalvotes,YEAR,religious_frac,year_y,area,year,population,white_pct,hispanic_pct,black_pct,edu_2010,inc_2010,density,log_inc,edu_X_white
01001,2000,0.7081783289046354,0.4097512784751278,17208,2010,0.6766414395924575,2000,595.97,2000,44021,0.7987551395924672,0.013902455646168875,0.17155448535926035,23.5,53255,4.3022317415412665,10.882846975877266,18.77074578042298
01003,2000,0.7449014926461207,0.47583215297450426,56480,2010,0.5297725838751268,2000,1596.35,2000,141342,0.8623551385999915,0.017652219439374,0.10339460316112692,28.7,50147,4.483462712207639,10.822713971062377,24.749592477819753
01005,2000,0.4955270322831583,-0.00885040885040885,10395,2010,0.5491131587573297,2000,884.9,2000,29015,0.5088402550404963,0.01647423746338101,0.46455281750818544,12.6,33219,3.4900935723514044,10.410877280366218,6.411387213510253
01007,2000,0.6119146498639553,0.22010984368398817,7101,2010,0.49958542439450143,2000,623.03,2000,19913,0.7821021443278261,0.010345000753276754,0.20162707778837946,10.2,41770,3.464533392037495,10.639933657491222,7.977441872143825
01009,2000,0.7179211063250963,0.42786401824959663,17973,2010,0.6588744286661317,2000,645.59,2000,51107,0.9217132682411411,0.053456473672882386,0.011896609075077778,12.8,45549,4.371512125742785,10.726543948550297,11.797929833486606
01011,2000,0.2968102734051367,-0.40008156606851547,4904,2010,0.5708264614256918,2000,625.01,2000,11581,0.23607633192297728,0.027804161989465503,0.7327519212503238,9.6,31602,2.9193534535759746,10.360975688711445,2.266332786460582
01013,2000,0.5336867968446916,0.06676919133666538,7803,2010,0.5922089081968779,2000,776.87,2000,21325,0.5800234466588511,0.006705744431418523,0.409284876905041,10.5,30659,3.31236234615745,10.330681536107859,6.090246189917936
01015,2000,0.5856591487909261,0.1676989899509111,38909,2010,0.712318253887933,2000,608.46,2000,111081,0.7799533673625553,0.01579928160531504,0.18712471079662588,16.8,38407,5.2070837690489595,10.555995013629378,13.103216571690929
01017,2000,0.5180640178494809,0.03557546053743451,11834,2010,0.6509133421014175,2000,597.17,2000,36571,0.6040578600530475,0.007656339722731126,0.38224276065735147,11.4,31467,4.114809025611804,10.356694656629713,6.886259604604742
01019,2000,0.5429355639785649,0.08398312667774512,7823,2010,0.479048828350456,2000,553.12,2000,24006,0.9250187453136716,0.008414563025910189,0.05569440973090061,10.9,40690,3.7704841019119755,10.613737640995735,10.082704323919021
01021,2000,0.6768423883808499,0.34852902199840974,15092,2010,0.702151547785441,2000,693.98,2000,39897,0.8575832769381156,0.029225255031706646,0.10547158934255708,10.2,39486,4.051613270433532,10.583701457684175,8.747349424768778
