fips,year_x,pct_two_party_rep,rep_margin,totalvotes,YEAR,religious_frac,year_y,area,year,population,white_pct,hispanic_pct,black_pct,edu_2014,inc_2014,density,log_inc,edu_X_white
01001,2012,0.7319939347990903,0.4603041952197894,23932,2010,0.6766414395924575,2010,594.44,2012,54954,0.7676966189904284,0.023929104341813154,0.18104232630927686,23.9,52475,4.526631964740674,10.868092144688834,18.347949193871237
01003,2012,0.7818095689246802,0.5576882514237502,85338,2010,0.5297725838751268,2010,1589.78,2012,190145,0.8343790265323832,0.04400326066948907,0.09411238791448631,28.9,50183,4.7841912971193326,10.823431602908185,24.11355386678587
01005,2012,0.4842086895829698,-0.031453644973499,11509,2010,0.5491131587573297,2010,884.88,2012,27169,0.46762854724134123,0.045161765247156684,0.4752843314071184,12.9,35634,3.4243798538491,10.481055517243915,6.032408259413302
01007,2012,0.7357811375089993,0.4667458432304038,8420,2010,0.49958542439450143,2010,622.58,2012,22667,0.7505624917280628,0.021132042175850355,0.21634975956235938,9.2,37984,3.594793267126493,10.544920297409394,6.905174923898177
01009,2012,0.874826147426982,0.7409397650587353,24006,2010,0.6588744286661317,2010,644.78,2012,57580,0.8826849600555748,0.08433483848558528,0.015856200069468567,11.5,44409,4.492021390824524,10.701197430581601,10.150877040639111
01011,2012,0.23550451807228914,-0.5279969936114243,5322,2010,0.5708264614256918,2010,622.81,2012,10606,0.22072411842353384,0.07580614746369979,0.7017725815576089,10.8,34804,2.8349336613471903,10.457487601685916,2.3838204789741657
01013,2012,0.5376810062361272,0.07508424599831508,9496,2010,0.5922089081968779,2010,776.83,2012,20670,0.5344944363812288,0.011804547653604258,0.4363328495403967,13.3,31571,3.281217116465028,10.359994256691806,7.108776003870344
01015,2012,0.6612505186835266,0.3192381693581512,46257,2010,0.712318253887933,2010,605.87,2012,117190,0.7337571465142076,0.033612082942230566,0.2080467616690844,16.7,40919,5.264886386648497,10.619349781839288,12.253744346787267
01017,2012,0.5260398703179968,0.051673396755868864,14611,2010,0.6509133421014175,2010,596.53,2012,34104,0.5755336617405583,0.01815036359371335,0.3904234107436078,13.7,32835,4.0460404247937065,10.399250298625073,7.884811165845648
01019,2012,0.778792280556132,0.5495449432457307,9779,2010,0.479048828350456,2010,553.7,2012,25958,0.9184066569073118,0.015216888820402188,0.045650666461206565,12.8,34983,3.8476121024187826,10.462617508188442,11.755605208413591
01021,2012,0.8039702233250621,0.6033100446684229,17462,2010,0.702151547785441,2010,692.85,2012,43582,0.8099444724886421,0.07688954155385251,0.10059198751778257,12.8,41785,4.141585974512143,10.640292702435536,10.36728924785462
01023,2012,0.5230536659108088,0.04593373493975904,7968,2010,0.7053899992784473,2010,913.5,2012,13563,0.5571038855710388,0.006561970065619701,0.43050947430509473,11.8,34325,2.6978174001446535,10.443629230636171,6.573825849738259
01025,2012,0.5411474934801507,0.08201573893581691,13851,2010,0.798629659737545,2010,1238.47,2012,25155,0.5371099185052673,0.011369509043927648,0.4401510634068774,11.1,30951,3.0111799371396044,10.340160587768485,5.961920095408467
01027,2012,0.7305125872004853,0.45631942359651756,6662,2010,0.7364341085271318,2010,603.96,2012,13434,0.8043769539973202,0.030445139199047195,0.14396307875539677,6.3,35286,3.1020361152505407,10.471241563688011,5.0675748101831175
01029,2012,0.8444658016979016,0.6821570182394925,6305,2010,0.7681004541811381,2010,560.1,2012,14889,0.9294109745449661,0.021022231177379273,0.034186312042447445,8.5,37008,3.280262625039764,10.51888938447122,7.899993283632212
01031,2012,0.7486090551783983,0.4927162367223065,19770,2010,0.6622086970449267,2010,678.97,2012,51141,0.7182495453745527,0.06259165835630903,0.17309008427680334,23.9,45558,4.321764858857922,10.726741518441289,17.166164134451808
01033,2012,0.6032378149078002,0.20397690827453496,23385,2010,0.6941096494451385,2010,592.62,2012,54570,0.79080080630383,0.023217885284955105,0.16307494960601063,16.8,39914,4.522686176032186,10.59448241852793,13.285453545904344
01035,2012,0.4917071775807835,-0.016519510111079466,7022,2010,0.5811158149380102,2010,850.16,2012,13046,0.5086616587459758,0.015483673156523072,0.46535336501609686,8.4,24433,2.7308122852916017,10.10368995654877,4.272757933466197
01037,2012,0.5818702290076336,0.162839248434238,5269,2010,0.5372215963255048,2010,650.93,2012,11346,0.6530054644808743,0.019478230213291026,0.3158822492508373,5.3,32340,2.858218428341093,10.384060133131097,3.4609289617486336
