fips,year_x,pct_two_party_rep,rep_margin,totalvotes,YEAR,religious_frac,year_y,area,year,population,white_pct,hispanic_pct,black_pct,edu_2010,inc_2010,density,log_inc
01001,2008,0.740679264555669,0.47840615879192927,23641,2000,0.5611275216963202,2000,595.97,2008,53277,0.7950710437900032,0.022054545113275897,0.17812564521275598,23.5,53255,4.493069667094702,10.882846975877266
01003,2008,0.7596488835438957,0.5144755751538452,81413,2000,0.47242815938468113,2000,1596.35,2008,175827,0.8777491511542596,0.03897581145102857,0.09491147548442504,28.7,50147,4.701780783845182,10.822713971062377
01005,2008,0.5073077920954769,0.014531384350816853,11630,2000,0.4117019078448929,2000,884.9,2008,27808,0.5121188147295742,0.04833141542002301,0.469972669735328,12.6,33219,3.447604383791814,10.410877280366218
01007,2008,0.7314566055367364,0.4584683017121703,8644,2000,0.4636512052242389,2000,623.03,2008,22705,0.7660867650297292,0.015987667914556265,0.22118476106584453,10.2,41770,3.5957457718108716,10.639933657491222
01009,2008,0.8527037765045377,0.6950591338031071,24267,2000,0.5079178425838821,2000,645.59,2008,57055,0.9663657873981246,0.07540092892822715,0.015265971431075278,12.8,45549,4.481606366500166,10.726543948550297
01011,2008,0.2574972232506479,-0.4838411819021237,5415,2000,0.21043196175516476,2000,625.01,2008,10953,0.2654067378800329,0.06719620195380262,0.7105815758239752,9.6,31602,2.8636010207153437,10.360975688711445
01013,2008,0.5670422826424067,0.1335873931403852,9709,2000,0.5000700967334922,2000,776.87,2008,20949,0.5478543128550288,0.008401355673301828,0.43524750584753447,10.5,30659,3.294573165311715,10.330681536107859
01015,2008,0.6644755761883242,0.3252101864262215,49242,2000,0.6431014975634527,2000,608.46,2008,117274,0.767493221003803,0.029443866500673637,0.205254361580572,16.8,38407,5.261337181341812,10.555995013629378
01017,2008,0.5426476523610925,0.08478202728002139,14956,2000,0.542410409206462,2000,597.17,2008,34563,0.5933512715910078,0.015016057633885948,0.3909961519544021,11.4,31467,4.058337194730247,10.356694656629713
01019,2008,0.7598917117867555,0.5122626988199076,9745,2000,0.5258462564615641,2000,553.12,2008,25636,0.9315415821501014,0.011936339522546418,0.04860352629115307,10.9,40690,3.836177916450803,10.613737640995735
01021,2008,0.7916524895089032,0.5783525442788867,17785,2000,0.6271058015305736,2000,693.98,2008,43239,0.8822590716714077,0.06609773584032934,0.0998635491107565,10.2,39486,4.1320550031034715,10.583701457684175
01023,2008,0.5373457182847691,0.07436027362553839,7894,2000,0.5163296068333124,2000,913.51,2008,14114,0.5527844693212414,0.005243021113787729,0.44098058665155165,9.8,31076,2.7376281688951325,10.344191096070311
