fips,year,population,white_pct,hispanic_pct,black_pct
53005,2010,176455,0.9186308123884277,0.18744155733756482,0.014366269020430138
53007,2000,66648,0.9639148961709278,0.1941693674228784,0.002940823430560557
53007,2001,66574,0.9615916123411542,0.1994171898939526,0.0033346351428485597
53007,2002,66742,0.9598004255191633,0.20561265769680262,0.0036408857990470767
53007,2003,67173,0.9590162714185759,0.20934006222738302,0.003751507302040999
53007,2004,67882,0.9573082702336407,0.21705312159335316,0.0037417872189976723
53007,2005,68747,0.9554889667912781,0.2228460878292871,0.0038983519280841347
53007,2006,69536,0.9542107685227795,0.23141969627243442,0.004127358490566038
53007,2007,70214,0.95274446691543,0.23669068846668756,0.004172956960150397
53007,2008,70813,0.950545803736602,0.24446076285427817,0.004222388544476297
53007,2009,71679,0.9499016448332147,0.2516776182703442,0.004324837121053586
53007,2010,72735,0.9481955042276758,0.25904997594005635,0.004880731422286382
53009,2000,64269,0.9061600460564191,0.03370209587826168,0.0076086449143443965
53009,2001,64756,0.9048891222434987,0.03584223855704491,0.007952931002532583
53009,2002,65777,0.9044802894628822,0.037353482220228953,0.008042324824786779
53009,2003,66301,0.9020376766564607,0.03840062744151672,0.008008928975430235
53009,2004,67411,0.9005355209090504,0.03956327602320096,0.008144071442346204
53009,2005,68720,0.8973515715948778,0.042156577415599535,0.008571012805587893
53009,2006,69642,0.8948910140432498,0.043608741851181756,0.008658568105453606
53009,2007,70186,0.8921152366568832,0.045906591058045766,0.00880517482118941
53009,2008,70769,0.8903615990052142,0.04841102742726335,0.008831550537664797
53009,2009,71077,0.8878680867228499,0.0502694261153397,0.009370119729307652
53009,2010,71515,0.8855904355729567,0.051653499265888275,0.009186883870516674
53011,2000,347208,0.9129253934241146,0.04745858390359669,0.017499596783484252
53011,2001,357211,0.9096612366360498,0.05054995506857292,0.017922180447970528
53011,2002,366405,0.9068680831320534,0.053405384751845635,0.0182912351086912
53011,2003,374098,0.9043673048238697,0.055961272180017,0.018738405444562654
53011,2004,384931,0.9014342830273477,0.05852477456998787,0.019146288555611266
53011,2005,394277,0.8987818209025634,0.061231063440170236,0.01918194568793006
53011,2006,401698,0.8951227041210064,0.06439414684663602,0.01955200175256038
53011,2007,408820,0.891957340638912,0.06765569199158554,0.01982045888165941
53011,2008,415282,0.8888947751166677,0.07086991490119966,0.020412635269527694
53011,2009,421236,0.8861873154241328,0.07376862376435063,0.020841048723281012
53011,2010,427044,0.8834218488024653,0.07611393673719805,0.02096505278144641
53013,2000,4069,0.9697714426148931,0.06340624231998034,0.0022118456623248955
53013,2001,4034,0.9695091720376797,0.06792265741199802,0.0022310361923648984
53013,2002,3995,0.9682102628285356,0.06157697121401752,0.0022528160200250315
53013,2003,4003,0.9680239820134899,0.06769922558081438,0.0019985011241568824
53013,2004,4027,0.9674695803327539,0.06580581077725355,0.0022349143282840824
53013,2005,3974,0.9574735782586814,0.06416708605938601,0.0035228988424760945
53013,2006,3895,0.9545571245186136,0.06290115532734275,0.003594351732991014
53013,2007,3897,0.9540672312034899,0.06055940467025917,0.003079291762894534
53013,2008,3903,0.9518319241609019,0.0622598001537279,0.003330771201639764
53013,2009,3977,0.9517224038219764,0.06361579079708322,0.003268795574553684
53013,2010,4113,0.9355701434476051,0.06370046194991491,0.003160709944079747
53015,2000,92984,0.9423771831712983,0.04599716080185839,0.005570850899079411
53015,2001,93608,0.9409879497478848,0.048660370908469364,0.005886249038543714
53015,2002,94325,0.9404399681950703,0.052297906175457196,0.006127749801219189
53015,2003,94516,0.9375872868085827,0.053885056498370644,0.0062846502179525155
53015,2004,95541,0.9363205325462367,0.05717964015448865,0.006583560984289467
53015,2005,96536,0.9340971243888291,0.06008121322615397,0.006619292284743516
53015,2006,99162,0.9326455698755571,0.06468203545713076,0.006867550069583107
53015,2007,100744,0.9306956245533232,0.06789486222504566,0.0071269753037401734
53015,2008,101688,0.9281921170639603,0.07237825505467706,0.007090315474785619
