fips,YEAR,religious_frac
01001,2000,0.5611275216963202
01001,2010,0.6766414395924575
01003,2000,0.47242815938468113
01003,2010,0.5297725838751268
01005,2000,0.4117019078448929
01005,2010,0.5491131587573297
01007,2000,0.4636512052242389
01007,2010,0.49958542439450143
01009,2000,0.5079178425838821
01009,2010,0.6588744286661317
01011,2000,0.21043196175516476
01011,2010,0.5708264614256918
01013,2000,0.5000700967334922
01013,2010,0.5922089081968779
01015,2000,0.6431014975634527
01015,2010,0.712318253887933
01017,2000,0.542410409206462
01017,2010,0.6509133421014175
01019,2000,0.5258462564615641
01019,2010,0.479048828350456
01021,2000,0.6271058015305736
01021,2010,0.702151547785441
01023,2000,0.5163296068333124
01023,2010,0.7053899992784473
01025,2000,0.5746223131302257
01025,2010,0.798629659737545
01027,2000,0.7400028062298302
01027,2010,0.7364341085271318
01029,2000,0.6936203356227431
01029,2010,0.7681004541811381
01031,2000,0.6958385876418663
01031,2010,0.6622086970449267
01033,2000,0.6682671322566565
01033,2010,0.6941096494451385
01035,2000,0.42068280218610266
01035,2010,0.5811158149380102
01037,2000,0.2780691689886904
01037,2010,0.5372215963255048
01039,2000,0.6992904785947756
01039,2010,0.6248642923341718
01041,2000,0.584924990852543
01041,2010,0.6321731626635985
01043,2000,0.7115883484119097
01043,2010,0.7807004452404049
01045,2000,0.4862097742677441
01045,2010,0.49758213766890214
01047,2000,0.4360832524533592
01047,2010,0.615814696485623
01049,2000,0.5997951964252467
01049,2010,0.5588744040838712
01051,2000,0.4651911224458815
01051,2010,0.47327339444913813
01053,2000,0.5305931321540063
01053,2010,0.6062005793470602
01055,2000,0.6831208498052369
01055,2010,0.8096045197740113
01057,2000,0.5484184914841849
01057,2010,0.6456122034684763
01059,2000,0.6459340870512122
01059,2010,0.647300025233409
01061,2000,0.6576230399006365
01061,2010,0.6234415826801045
01063,2000,0.18959294164828555
01063,2010,0.2731896075179657
01065,2000,0.39522839685772476
01065,2010,0.6126269035532995
01067,2000,0.6060085836909871
01067,2010,0.480522482949948
01069,2000,0.6782411839571109
01069,2010,0.7939771731316533
01071,2000,0.47675518302859476
01071,2010,0.546019877130028
01073,2000,0.6014603192824679
01073,2010,0.8459297822514754
01075,2000,0.7114562374245473
01075,2010,0.771765998352101
01077,2000,0.5663324466271059
01077,2010,0.5878070090282497
01079,2000,0.5201275752090337
01079,2010,0.5224962870205888
01081,2000,0.3458711291836096
01081,2010,0.39437563726853336
01083,2000,0.5299348315975394
01083,2010,0.5239424029378368
01085,2000,0.2892451569806279
01085,2010,0.5519957518364457
01087,2000,0.19282306575399294
01087,2010,0.4446671639008018
01089,2000,0.5522605710155403
01089,2010,0.5024655701276243
