fips,inc_2014
31117,57763
31033,54094
31047,48104
31071,41776
31125,46220
31167,53532
31175,42708
32001,46195
32005,58940
32027,48165
32011,68403
32013,62632
32033,55337
32007,72280
32023,41757
32029,64835
32003,52070
32019,47143
33005,56139
33009,55045
33015,79368
33019,56851
33011,70906
33007,42407
33003,52393
34021,74118
34011,50603
34035,100903
31035,50682
31041,44336
31061,45707
31081,58382
31095,44449
31101,42326
31115,55125
31135,56333
31155,60487
31157,46443
31103,39028
31105,42219
31111,49250
31139,52178
31165,40625
31021,46988
31025,65560
31039,49872
31051,49634
31057,47636
31075,45268
31077,43226
31079,49178
31085,48750
31131,51316
31145,43627
31027,49507
31045,41267
31097,44057
46065,57614
46027,36627
46037,37901
46043,49360
46089,37602
46111,49375
46119,61806
46059,46951
46079,50378
46135,50044
46029,47891
46019,41731
46031,32892
46045,54229
46021,39167
46007,34697
46117,57930
46075,38750
46107,44931
46125,51343
46023,41220
46061,57857
46091,51579
46095,35478
46105,38635
46103,50564
46127,64513
47031,39656
47047,55623
47067,26528
47073,37432
47091,31711
47103,41328
34029,61839
47111,34156
47127,43393
47147,53748
47051,42663
47009,46518
47021,52138
47019,32754
47057,34566
47055,38739
47097,31185
47099,37371
47113,42069
47115,40998
47133,34913
47137,35510
47181,31225
47187,91743
47003,40989
47059,35860
47035,38350
47175,34250
47025,32884
47081,38032
47085,41152
47039,37219
47155,42499
47161,41089
47023,41028
47087,33500
47109,32214
47145,41726
47011,41575
47063,38600
47173,36009
47071,34084
47043,45056
47129,38003
47123,37202
47079,38694
47033,37298
47095,29214
47093,47543
47107,39644
47117,41822
47143,37512
47151,30206
47001,44199
47049,29784
47053,37460
47069,30260
47105,50619
47149,55096
47159,43988
47189,60095
47171,34346
35027,41710
35005,40541
35025,55248
35049,52958
47141,34780
35059,36176
35051,28855
35053,33570
35041,36567
35013,38426
35028,105989
35039,38635
35047,28292
35061,42012
35057,34720
35001,48390
35035,40614
35006,36279
35011,37961
35019,27957
35003,39342
36005,34284
36067,54498
36019,50985
36099,48932
36079,96262
36043,45649
36069,57318
36107,56167
36041,52939
36013,42720
36047,46958
36073,48015
36091,70581
36021,58625
36049,46990
36119,83422
36025,44183
36057,44167
36085,74043
36089,44454
36109,52836
36113,56601
36023,48404
36027,72471
36055,52501
36065,48931
36111,58592
36015,49685
36051,52200
36077,47884
36039,49864
36001,59940
36003,42726
36009,43503
36053,53584
36093,57025
36037,50573
36123,50061
37079,39498
36101,47733
37121,37487
37041,37154
37005,35319
37027,34853
37035,45397
37045,39197
37049,47295
37065,33892
37077,49655
37085,44417
37093,43754
37089,46257
37095,44425
37097,51889
37119,56472
37131,31468
37147,42011
37159,41925
37181,34075
37039,34507
37053,58676
37179,65893
37193,32157
37127,43341
37003,41676
34007,61842
34023,80118
34033,60768
34009,57394
34039,69396
34017,58973
34019,106519
34027,99142
35023,35048
35031,29812
35043,57092
35017,38923
35009,40318
35015,51303
35033,24425
35045,48824
29205,38935
29225,45798
29005,44216
29013,39744
29015,33145
29035,32656
29057,36209
29115,37264
29091,33006
29101,49978
29105,38693
29125,41492
29161,41942
29165,68638
29187,37476
29510,34800
34001,54392
29003,53986
29023,36160
29033,42582
29061,42188
29087,41842
29127,41732
29151,52479
29181,31473
29219,52512
29221,34282
29043,52693
29063,44936
29081,39342
29107,51195
29001,34976
29199,39450
29211,37198
29045,43497
29097,40914
29111,43000
29119,38122
29157,50817
29167,39336
29177,51585
30041,44368
30015,41270
30099,45572
30103,40682
30005,37065
30097,51797
30079,40580
30035,33493
30025,51595
30037,42083
30093,37503
30095,58326
30043,61460
30039,49583
30107,33825
30057,44764
30091,47348
30011,44453
30003,42650
30047,38492
30049,55594
41015,41939
41021,46490
41027,56417
41037,34535
41051,52845
42103,58906
42109,48718
42115,49948
42039,43622
42049,45703
42057,48452
42067,47269
42107,45020
42131,51021
42001,60068
42005,45375
42035,44329
42025,49913
42027,50295
42097,41560
42095,61041
42121,43291
30053,35603
30067,42506
42007,50242
42069,46056
42083,42913
42051,38879
42091,79926
42033,41510
42075,56173
42081,45877
42093,53604
42123,44391
42019,59365
42047,46576
42071,57120
42085,43715
42105,41862
45005,25495
44007,49139
44001,69240
45003,45597
45037,44704
45023,33151
45029,32224
45067,29884
45063,54170
45073,41197
45015,51844
45019,52083
45043,41578
45069,28765
45007,41822
45025,31692
45047,36045
45051,42322
45055,43203
45075,33615
45083,43555
45009,32738
45013,57295
45017,41727
45033,28847
45081,38216
45079,48674
45039,36213
45049,34494
45045,49968
45057,42906
45035,54452
45041,42321
45059,38300
45065,38919
45077,41501
45087,35221
45089,27485
46003,47024
46051,51277
46123,36978
46113,26383
46137,32500
46115,49627
46015,46698
42117,45863
44005,72702
46011,48406
46053,37321
46057,56134
46099,53391
46033,50903
46025,49016
46049,42781
46077,52522
46129,42643
28061,32261
28009,29132
28037,35995
28027,27735
28067,38044
28147,34934
28095,36708
28115,40991
28051,21399
28005,29580
28089,63156
28013,29893
28091,29010
28141,34499
28153,29254
28041,37412
28093,39137
28119,24212
28109,40997
28079,32953
28099,36830
28121,58811
28151,28936
28077,37477
28111,33097
28017,31301
28015,34060
28039,42472
28043,33067
28063,23480
28101,38265
28117,33811
28125,30688
28019,30768
28045,44069
28057,36740
28055,29583
28059,49145
28083,24475
28143,31406
28021,23917
28047,42285
28075,37165
28085,35502
28127,36097
28159,33969
28007,31671
28073,51724
28081,43240
28135,31860
28129,37356
28149,40941
28023,31478
28097,30993
28105,32348
42043,54337
28025,32844
28031,32162
28053,24387
42055,53394
42119,48827
42127,49285
42009,44692
42089,57748
42061,44163
42125,55323
42101,37460
42133,58906
42063,45168
42041,61417
42003,52390
42129,51593
42053,36037
42013,43871
42073,43991
42015,48418
42021,42304
42029,86093
42011,55798
42087,40947
29129,38925
29229,30029
29047,61184
29065,37658
29195,39027
29227,42905
29079,37167
29141,34179
29179,34432
29189,59520
29209,40136
29009,38789
29019,49059
29051,53228
29055,35829
29093,37259
29117,44754
28155,33769
28003,33790
29135,47386
29155,30840
29159,39624
29203,33583
29175,39316
29069,31777
29071,48661
29089,44081
29095,46917
29131,36592
29171,36886
29213,37249
29021,44971
29025,41740
29137,40342
29059,38314
29085,31897
29113,53280
29145,42939
29163,40120
29183,72100
29031,45849
30073,40969
30111,51743
30063,47029
30081,38366
30105,49198
30013,45091
30027,42865
30033,51000
30061,33060
30069,40250
30077,41326
30089,31665
30109,39097
30031,54298
30059,38144
30009,48979
30001,42577
30029,46858
30065,45096
31083,46859
31185,50922
31019,52562
31037,52086
31087,35938
31141,55391
31143,54375
31013,49367
31017,34645
31161,40489
31109,51916
31129,42404
31007,46875
31063,48713
31055,53444
31147,40765
29037,61046
29049,53361
31089,45782
31065,40765
31151,46814
31173,40494
31177,68207
31031,46817
31053,47991
31069,41410
31123,45000
31127,47875
31171,52105
31043,48508
31003,45417
31029,48450
21191,46085
21201,30479
21207,30773
21215,65149
21229,39313
21011,33091
21087,34368
21007,42852
21009,38885
21021,40853
21091,50311
21095,25186
21159,28040
21093,49602
21137,35949
21149,40851
21171,30378
21183,39574
21197,29141
21233,40852
21033,40135
21045,30051
21047,38720
21085,33788
21103,44764
21107,42404
21125,35746
21157,44539
21173,38373
21181,41996
21187,40995
21209,62134
21227,45209
21017,43521
21019,41739
21055,33356
21067,48667
21115,35026
21165,30313
21175,29730
21193,32302
21199,33425
21051,22626
21001,34490
21025,26094
21083,39529
21099,34771
21031,34581
21223,47119
21097,35957
21105,42256
21143,43715
21231,29295
21135,27707
21221,45303
21239,58639
21131,29156
21113,50057
21127,36225
21139,40580
21145,43650
21211,57890
21235,32255
20115,45964
20013,41126
20161,44522
20041,50123
21079,44304
21037,54482
21081,46382
21141,36101
21167,42658
21225,38367
21035,38589
21059,45760
21101,41006
21109,27224
21163,49379
21185,84447
21005,53410
21027,40039
21071,30190
21075,32948
21203,31536
21003,40273
21029,56199
21119,31624
21177,38849
21237,21198
21013,24976
21057,30813
21129,23968
21061,42404
21023,40194
21179,45655
21155,38478
21015,67286
21121,25523
21133,31630
21195,32571
21077,48917
22115,46867
22085,36513
22053,40335
22125,53967
22013,32826
22023,64129
22075,54835
22117,31750
22001,37684
22103,61942
22017,41251
22005,70207
22045,45022
22091,35262
22031,41486
22063,57478
22069,33629
22025,35093
22041,30607
22049,36466
22089,57785
22107,26178
23017,40695
24001,39794
24003,89031
24009,95425
24031,98704
24037,88190
24019,45628
24015,65124
25001,61597
25003,49737
25023,75816
25021,86469
25019,86529
26115,54911
26059,42183
26127,40969
26035,33264
21151,42155
21073,46818
21117,54817
21147,20000
21153,27947
21169,30453
21189,19146
21205,40697
21213,39055
21217,35521
21049,46554
21219,41047
21039,39125
21041,39668
21053,27285
21065,29905
22083,38708
22099,42948
22127,32608
22033,48535
22003,39440
22065,24028
22093,53259
22043,39729
22051,47871
22011,46420
22015,52754
22037,46220
22095,50716
22073,39111
22079,41305
22097,33928
22105,40721
22101,41956
22123,31843
22111,35115
22021,36792
22035,24947
22055,51406
22039,30323
22061,34210
22087,44706
22119,35292
22121,49202
22047,45692
22081,37681
22067,28304
22071,36964
22109,49932
22019,44045
22027,34216
22009,33781
22007,47961
