fips,edu_2018
04009,15.3
02195,27.6
02158,4.8
04013,32.0
04023,21.0
04012,12.4
04015,12.9
04005,35.6
04025,25.2
04011,11.9
04021,19.0
05099,15.4
05037,15.4
05039,13.7
05027,20.6
05125,26.1
05141,14.1
05065,13.8
05063,18.9
05083,12.1
05053,18.3
05047,11.8
05109,14.7
05069,17.8
05097,10.8
05127,9.1
05131,19.7
05033,15.3
05017,14.7
05071,15.8
05077,8.9
29029,21.8
29099,20.2
29143,12.7
29173,13.6
30017,22.5
30075,26.4
30085,17.1
30051,16.6
30083,19.0
30101,14.5
30019,21.9
30045,28.6
30023,17.4
30055,16.1
30087,18.0
30021,21.0
30007,27.0
30071,20.5
31009,22.7
31049,15.8
31113,19.7
31169,19.8
31001,24.9
31011,20.6
31149,20.9
31163,18.2
31093,20.5
31073,26.4
47153,14.6
47157,31.1
47077,13.8
47089,16.4
47017,17.2
47037,40.3
47135,11.5
47121,10.5
47075,12.6
47125,27.2
47061,12.1
47029,10.8
47041,15.7
47101,11.5
47131,14.9
47167,16.7
47045,16.9
47065,31.2
47139,11.0
47185,13.5
47163,22.8
36095,22.3
36035,17.8
36083,30.1
36033,19.4
36081,31.5
36115,20.4
36061,60.8
36011,22.3
36087,40.6
36063,23.8
36031,27.6
36059,45.2
36097,22.3
36017,18.3
36045,22.3
36103,35.6
36121,16.5
36075,18.6
36117,22.3
36007,28.3
36029,33.7
36105,23.2
05011,15.2
05073,16.5
05107,14.0
05149,13.5
05113,13.3
05103,16.0
05081,11.4
05091,16.6
05145,21.4
06033,15.8
29065,14.6
29129,18.0
29229,11.4
29047,32.7
29195,18.0
29227,17.5
29079,18.8
29141,12.9
29179,11.1
29189,43.2
29209,18.4
29009,14.5
29019,46.0
29051,32.9
29055,11.2
29093,10.9
29117,19.3
29135,19.0
29155,12.1
29159,18.4
29203,15.8
29175,15.3
29069,13.1
29071,20.1
29089,24.4
29095,30.9
29131,16.6
29171,18.9
29213,18.4
29021,20.7
29025,18.3
29037,26.1
29049,19.4
29059,12.4
29085,10.0
29113,15.9
29137,12.8
29145,19.7
29163,16.1
29183,37.8
29031,30.5
29205,17.0
29225,16.9
29005,22.5
29013,14.9
29015,13.4
29035,16.5
29057,13.6
29115,15.4
29091,16.5
29101,28.4
29105,14.7
29125,14.1
29161,29.5
29165,41.8
29187,14.0
29510,35.0
29003,23.8
29023,13.8
48475,13.6
48013,13.3
48353,15.5
48229,6.9
48203,19.1
48327,17.8
48149,18.1
48491,41.1
48233,13.8
48343,15.5
48361,15.3
48495,9.5
48201,31.0
48053,25.1
48171,33.8
48113,30.7
48311,23.3
48503,19.6
48251,18.3
48223,18.3
48357,15.2
48275,19.6
48309,23.7
48095,11.9
48137,20.8
48133,13.3
48243,35.1
48247,12.3
48339,34.7
48127,14.1
48479,18.4
48011,23.2
48069,14.8
48273,24.8
48097,20.5
48107,12.8
48151,18.2
48131,9.3
48031,27.1
48241,12.4
48245,19.6
48271,9.6
48359,22.5
48279,15.9
48295,19.5
48307,19.0
48319,20.0
48125,16.7
48287,15.9
48439,31.5
48001,11.7
48139,23.1
48239,16.1
48265,25.6
48331,13.8
48093,19.8
48145,12.9
48047,17.6
48015,23.5
48261,6.8
48089,18.6
31091,23.9
31153,40.1
31015,18.2
31059,19.9
31159,29.2
31181,22.6
31023,19.9
31005,27.9
31067,20.2
31099,22.7
31119,22.4
31137,25.9
31179,34.5
31107,21.7
31121,17.4
31133,17.5
31183,17.3
32015,11.6
32009,16.5
29127,20.9
29033,17.0
29061,18.1
29087,19.8
29151,18.9
29181,10.9
29219,18.6
29221,9.4
29043,28.2
29063,15.3
29081,16.2
29107,20.1
29001,30.0
29199,12.0
29211,12.2
29045,13.5
29097,22.9
29111,14.0
29119,11.8
29157,16.0
29167,20.3
29177,13.9
30041,24.5
30015,27.3
30053,20.2
30067,32.4
30103,23.5
30005,21.8
30097,25.5
30099,24.4
30079,20.9
30035,19.0
30025,17.3
30037,25.9
30093,26.4
30095,25.3
30043,34.0
30039,26.6
30107,19.8
30057,28.9
30091,23.6
30011,17.5
30003,17.4
30047,28.0
30049,38.6
30073,24.8
30111,31.0
30063,42.5
30081,27.1
30105,20.9
30013,26.0
30027,28.9
30033,16.8
30061,17.3
30069,29.0
30077,21.0
30089,17.1
30109,20.8
30031,49.0
48413,16.5
48409,14.9
48381,32.0
48411,14.4
48507,8.6
48057,15.0
48155,16.2
48175,17.6
48193,21.7
48335,11.8
48449,15.9
48285,16.7
48445,12.0
48497,17.5
48321,16.7
48371,9.8
48397,40.3
48441,24.5
48447,19.0
48471,20.6
48499,16.4
48007,21.7
48079,8.2
48081,17.1
48099,15.7
48211,21.0
48341,14.3
48375,14.8
48405,13.3
48417,24.9
48427,10.3
48461,9.9
48049,19.3
48191,14.3
48159,23.6
48163,7.2
48281,20.0
50019,21.6
50013,39.2
50007,50.7
50015,37.3
50011,23.7
50005,28.1
50025,38.6
50003,35.7
50001,36.7
50009,15.6
50023,41.5
49027,22.4
49045,23.0
49053,27.7
49025,27.3
49043,55.3
49019,27.7
49031,18.9
49033,24.4
49051,40.6
49001,20.4
49003,23.3
49021,29.1
13005,10.1
13025,8.2
13017,12.0
13033,12.6
13047,20.8
13053,33.4
13055,9.8
13073,35.1
13087,14.6
13115,20.4
13117,51.7
13137,18.7
13147,15.1
13185,25.6
13191,15.6
13199,11.5
19125,26.4
19183,21.5
19197,17.7
19029,19.6
19035,21.4
19047,12.8
19057,20.5
19065,19.8
19085,18.8
19109,18.3
19129,23.7
19133,16.7
19139,22.0
19143,18.1
19153,36.1
19187,19.6
19169,51.1
19193,23.0
19013,28.6
19075,28.0
19105,18.4
19131,17.7
19137,17.5
19161,20.6
19149,21.0
19019,20.6
19045,19.1
19053,23.5
19101,31.6
19005,18.5
19113,33.0
19049,49.4
19141,19.9
20187,19.3
20119,20.1
20125,18.2
20151,28.1
20153,25.1
20003,17.5
20053,20.4
20061,21.9
20057,17.6
20167,25.9
20117,18.6
20001,20.4
20023,26.3
20035,20.1
20049,15.0
20059,19.5
24027,61.4
24033,32.7
24003,40.9
24005,38.6
24021,40.6
24009,31.1
24023,20.1
24029,34.2
24031,59.0
24013,35.6
24035,34.9
24037,31.5
24017,28.9
24019,20.8
24043,21.4
24045,26.8
24015,22.8
24011,16.9
25025,44.8
25007,44.2
25017,55.2
25005,28.0
25013,27.2
25009,39.4
25011,37.2
25027,35.9
25015,46.5
26033,21.0
26115,19.1
26125,46.4
26059,17.0
26121,19.1
26089,42.8
26087,17.8
26151,14.2
26083,30.4
26131,17.5
26139,33.5
26001,15.7
26067,16.1
26079,11.9
26021,27.7
26129,12.1
26165,17.9
26039,18.8
26043,26.5
26063,15.5
26065,38.5
26105,23.2
26109,16.7
26113,13.2
26149,15.7
26159,20.9
26011,11.8
26015,20.1
26071,18.8
30029,29.9
30059,26.1
30009,32.0
30001,35.5
30065,14.1
31083,21.4
31185,28.1
31019,34.7
31037,14.5
31087,18.6
31141,22.2
31143,21.1
31013,18.2
31017,19.8
31161,23.6
31109,38.8
31129,19.1
31007,20.7
31063,20.0
31055,38.9
31147,18.2
31089,21.2
31065,18.9
31151,14.3
31173,16.7
31177,30.3
31031,21.2
31053,18.6
31069,24.9
31123,18.1
31127,28.1
31171,24.0
31043,12.5
31003,19.1
31029,20.8
31035,18.4
31041,20.9
31061,16.6
31081,26.0
31095,15.3
31101,20.7
31115,23.2
31135,25.8
31155,25.4
31157,22.4
31103,22.9
31105,18.2
31111,22.1
31139,22.3
31165,26.6
31021,18.1
31025,27.4
31039,23.2
31051,20.5
31057,19.4
31075,25.2
31077,17.4
31079,20.9
31085,18.1
49037,18.4
49039,18.8
49041,17.1
49057,23.8
49035,34.5
49009,12.4
49055,25.2
49007,16.4
49029,39.5
49005,37.8
49023,17.1
51095,49.6
51167,13.5
51173,14.3
51540,52.6
51031,22.5
51087,42.9
51099,34.6
51103,30.9
51105,11.4
51115,28.0
51119,21.8
51149,24.0
51159,15.7
51169,14.4
51177,31.5
51011,19.8
51067,20.5
51097,19.8
51121,45.8
51127,28.4
51049,17.5
51051,10.0
51083,15.9
51107,60.8
51153,40.1
51175,17.8
51091,23.1
51033,20.1
51073,22.8
51141,13.9
51145,28.8
51171,20.1
51061,35.9
51790,34.0
51065,34.5
51007,15.9
51750,39.1
51840,33.9
51001,18.5
51045,18.5
51063,22.3
51071,18.2
51077,12.5
51135,12.7
51157,32.9
51036,13.3
51047,24.7
51053,17.2
05041,12.4
05049,11.8
05061,14.7
05051,20.2
05093,12.8
05115,22.0
05117,15.1
05139,20.8
05147,12.0
05023,14.9
05025,16.2
05067,10.2
05057,15.1
05135,11.3
05137,12.8
05143,32.8
05005,18.3
05003,13.2
05031,26.3
05055,15.9
05105,11.9
05111,10.1
05133,11.5
05013,12.1
05019,27.6
05075,15.0
05095,10.5
05029,16.0
05101,16.2
05001,15.5
05085,20.3
05015,20.4
05123,10.6
05119,34.1
06047,14.0
06043,23.4
06049,15.9
06013,41.7
06027,26.1
06099,16.9
06083,33.8
13265,7.0
13207,26.3
13237,22.2
13261,18.6
13301,13.4
13029,32.6
13035,11.4
13039,24.5
13079,10.3
13099,15.6
13069,13.2
13077,29.8
13123,20.0
13297,19.9
13317,12.6
13091,13.7
13129,14.4
13057,37.0
13113,46.5
13177,25.6
13227,23.7
13133,25.8
13075,15.5
13085,30.4
13121,51.4
15001,29.5
15003,34.3
15007,29.5
15005,24.6
16031,18.6
16063,10.1
16085,30.1
16041,18.1
16069,21.9
16055,24.9
16067,13.4
16083,20.6
16013,38.2
16015,27.2
16023,18.2
16047,15.2
16001,37.8
16007,20.3
16011,20.7
16025,19.5
16035,16.9
16051,22.6
48225,14.1
48349,16.1
48415,16.5
48433,13.7
48021,20.4
48025,10.2
48103,12.4
50021,30.3
50017,29.1
50027,36.3
49049,40.1
49013,14.4
49047,14.7
20185,23.9
20083,28.4
20089,16.9
20159,23.2
20139,18.6
20031,22.9
20037,29.5
20073,19.6
20099,17.8
20173,30.9
20157,24.5
20065,26.2
20045,50.4
20179,21.4
20069,21.0
42023,15.9
42017,40.5
42077,29.4
42031,22.7
42059,18.2
42079,23.2
42037,22.5
42065,16.4
42099,16.4
42113,17.3
44003,32.1
44009,45.0
45071,17.1
45027,15.5
45085,18.5
45011,11.5
45031,17.2
45091,32.0
45021,13.8
45053,16.9
45061,12.3
45001,15.9
46085,19.8
46039,23.6
46015,24.8
46053,20.5
46099,31.9
46025,18.6
46077,22.7
46027,48.4
46041,16.0
46065,35.5
46111,19.7
46059,23.3
46135,28.2
46005,20.1
46035,23.9
46073,20.8
46117,31.3
46107,21.8
46023,17.5
46091,24.0
46105,20.0
26055,35.1
26019,29.3
26153,15.8
26163,23.3
26097,21.8
26049,20.9
31045,37.0
31131,21.8
31145,18.8
31027,19.4
31097,16.0
31033,26.2
31047,15.6
31071,22.2
31117,24.9
31125,19.8
31167,16.6
31175,22.8
32001,17.5
32005,28.9
32027,14.8
32011,11.7
32013,16.3
32033,14.9
32007,18.2
32023,11.5
32029,28.7
32003,23.9
32019,14.0
33005,32.6
33009,40.5
33015,40.7
33019,26.8
33011,37.3
33007,18.1
33003,33.6
34021,42.0
34011,14.7
34035,54.5
34029,29.2
34001,27.4
34023,42.7
34033,20.9
34009,31.5
34007,31.8
34039,35.1
34017,40.9
34019,52.0
34027,53.6
35023,14.2
35031,11.6
35043,30.0
35017,27.3
35009,19.8
35015,15.9
35033,11.2
35045,15.2
28009,10.3
28037,15.3
28027,17.1
28061,14.5
28067,20.5
28147,13.4
28095,17.2
51137,24.3
51079,27.8
51085,39.2
51111,10.6
51595,13.4
51197,18.5
51550,32.5
51660,36.0
51003,53.5
51019,28.9
51029,11.3
51195,14.5
51580,15.3
51740,21.3
51810,35.2
51005,15.4
51640,12.4
51193,20.3
51133,28.5
51155,19.4
51187,21.1
51590,18.4
51630,42.1
51009,19.2
51017,14.9
51670,13.5
51700,25.5
51069,28.1
51680,34.8
