fips,year,pct_two_party_rep,rep_margin,totalvotes
01001,2000,0.7081783289046354,0.4097512784751278,17208
01003,2000,0.7449014926461207,0.47583215297450426,56480
01005,2000,0.4955270322831583,-0.00885040885040885,10395
01007,2000,0.6119146498639553,0.22010984368398817,7101
01009,2000,0.7179211063250963,0.42786401824959663,17973
01011,2000,0.2968102734051367,-0.40008156606851547,4904
01013,2000,0.5336867968446916,0.06676919133666538,7803
01015,2000,0.5856591487909261,0.1676989899509111,38909
01017,2000,0.5180640178494809,0.03557546053743451,11834
01019,2000,0.5429355639785649,0.08398312667774512,7823
01021,2000,0.6768423883808499,0.34852902199840974,15092
01023,2000,0.4926782537293007,-0.014510442093843234,7374
01025,2000,0.5613574575794507,0.12174479166666667,10752
01027,2000,0.6452116585704372,0.28454869964303925,5883
01029,2000,0.667000200120072,0.3277690494893951,5092
01031,2000,0.6556273914764481,0.3056887391473371,15434
01033,2000,0.49940648592184606,-0.0011610626044956344,21532
01035,2000,0.4923385625684057,-0.015132408575031526,5551
01037,2000,0.5309852875613018,0.0608714692358222,4567
01039,2000,0.6686814416834564,0.3321090134430324,13613
01041,2000,0.5908610112121854,0.1791449426485923,4795
01043,2000,0.6625280996022825,0.31834038950042337,29525
01045,2000,0.6834634492547906,0.35980007592053653,15806
01047,2000,0.4015932776777432,-0.19535311958405546,18464
01049,2000,0.6451239752552431,0.2844959329553858,20285
01051,2000,0.716078364420163,0.4253486808939674,23804
01053,2000,0.6066272395199165,0.21029159519725557,11660
01055,2000,0.547429906542056,0.09286367795059469,39348
01057,2000,0.5992675908972012,0.19441598360655737,7808
01059,2000,0.560758797653959,0.1194271818427452,11103
01061,2000,0.7040718178903494,0.3995187781148656,9559
01063,2000,0.19522278364722095,-0.6037306642402184,4396
01065,2000,0.39078051335777897,-0.2157547535894451,7731
01067,2000,0.5930368636629608,0.18349682631275246,6932
01069,2000,0.701793295735378,0.3973547119193936,32057
01071,2000,0.4831537540619121,-0.033005696414609625,17906
01073,2000,0.5160257843356435,0.031421338895321865,273763
01075,2000,0.627544573915485,0.25065526279486827,7249
01077,2000,0.5574586164003444,0.11211376295236021,32137
01079,2000,0.4738865212668171,-0.05129257283545342,12185
01081,2000,0.6061826141000352,0.2053888772736776,38264
01083,2000,0.6123469563717883,0.22052974528222052,23634
01085,2000,0.26440677966101694,-0.46756367131186927,6243
01087,2000,0.12460027409776153,-0.7444230551466425,8831
01089,2000,0.5632170367014047,0.12312254010836761,113318
01091,2000,0.492078480747036,-0.015716069941715236,9608
01093,2000,0.6003475238922676,0.19649540660088466,11756
01095,2000,0.6220280356817768,0.23948694129836723,27989
01097,2000,0.5713512960336837,0.13969730580700562,139745
01099,2000,0.5793793568697999,0.15774773768294045,8951
01101,2000,0.49025227909795704,-0.019221193108256148,80328
01103,2000,0.616101735430511,0.2275954171645463,42681
01105,2000,0.3011126564673157,-0.39536893036115434,5787
01107,2000,0.5096461119659131,0.01908665105386417,8540
01109,2000,0.5816610657705232,0.16132397572078908,10544
01111,2000,0.6012886597938144,0.19850991286778633,7919
01113,2000,0.42469508016993285,-0.14876480541455162,14775
01115,2000,0.7252351495635964,0.44134495641344956,24090
01117,2000,0.7832955255284874,0.5547901107391192,62128
01119,2000,0.2695234943745864,-0.4576215505913272,6088
01121,2000,0.5507159666547007,0.0999174885073278,25451
01123,2000,0.6132724543407556,0.22285116593859594,16253
01125,2000,0.5800876878721191,0.15618657883354958,60114
01127,2000,0.5371410363643605,0.07273507273507274,25641
01129,2000,0.5487138477942156,0.09623486045286993,7596
01131,2000,0.3253672869735553,-0.3478345688646118,5126
01133,2000,0.7043382756727073,0.3993346211633398,9318
04001,2000,0.3134619439173519,-0.3637952302631579,19456
04003,2000,0.5764109067850349,0.14500165458319544,33241
04005,2000,0.4640875218011733,-0.06648240099796981,40883
04007,2000,0.543243563886582,0.08220568335588634,17736
04009,2000,0.6416364024781029,0.27442052980132453,9664
04011,2000,0.5710758377425044,0.13614864864864865,2960
04012,2000,0.5897495361781077,0.1726522418023645,4483
04013,2000,0.553818727283217,0.10345359149782798,901699
04015,2000,0.5826165902140673,0.15667973086246348,44141
04017,2000,0.5122415219189412,0.023541575535849207,25147
04019,2000,0.4575618785971124,-0.08034000834376304,287640
04021,2000,0.5059338227899024,0.01143133930733834,41290
04023,2000,0.38987991139092926,-0.21241425840548747,8893
04025,2000,0.6252277789026118,0.2356950225713783,68228
04027,2000,0.5657889997478659,0.12749546279491833,28652
05001,2000,0.5382022471910113,0.07470182046453233,6372
05003,2000,0.47681141591831716,-0.04558094547213155,8271
05005,2000,0.5941198455213654,0.1808714388316974,16708
05007,2000,0.6684831622373597,0.32734966260299,53646
05009,2000,0.6560251110090338,0.29893656032269894,13635
05011,2000,0.4579821200510856,-0.08268409148027142,3979
05013,2000,0.5258741258741259,0.05080091533180778,2185
05015,2000,0.607146759916949,0.20448383733055267,9590
05017,2000,0.35675182481751827,-0.2821203953279425,4452
05019,2000,0.44755244755244755,-0.10259680037097148,8626
05021,2000,0.3898979415326068,-0.2157627118644068,5900
05023,2000,0.581725888324873,0.1577348878220829,10207
05025,2000,0.5426908150064683,0.08299276956931782,3181
05027,2000,0.5562576211063075,0.10905769850650049,9307
05029,2000,0.5034796193722483,0.006773569256289743,7234
05031,2000,0.4955571859460341,-0.008665580156616448,25157
05033,2000,0.63210858881348,0.2562269503546099,17625
05035,2000,0.44774864307010165,-0.10329454435544809,13234
05037,2000,0.4948604992657856,-0.010136765888978279,6215
05039,2000,0.47881743370923496,-0.04180451127819549,3325
