fips,edu_2014
31117,29.4
31033,26.2
31047,14.8
31071,10.0
31125,14.8
31167,14.7
31175,15.8
32001,14.4
32005,26.3
32027,10.5
32011,22.1
32013,11.9
32033,11.0
32007,18.5
32023,15.5
32029,25.0
32003,22.5
32019,16.1
33005,29.4
33009,36.4
33015,38.1
33019,24.7
33011,35.9
33007,15.8
33003,32.2
34021,40.7
34011,11.4
34035,54.4
31035,16.0
31041,18.8
31061,18.9
31081,26.9
31095,12.6
31101,22.0
31115,19.7
31135,18.6
31155,22.9
31157,22.3
31103,18.0
31105,14.2
31111,20.2
31139,16.4
31165,23.8
31021,16.3
31025,23.2
31039,16.2
31051,12.7
31057,25.5
31075,18.6
31077,14.7
31079,17.5
31085,16.8
31131,21.4
31145,19.0
31027,12.8
31045,39.6
31097,9.6
46065,36.2
46027,43.5
46037,14.7
46043,15.4
46089,14.6
46111,12.3
46119,26.1
46059,16.8
46079,25.8
46135,23.5
46029,18.6
46019,14.6
46031,10.1
46045,26.2
46021,17.0
46007,13.7
46117,26.6
46075,16.1
46107,20.0
46125,18.8
46023,16.1
46061,17.4
46091,20.2
46095,13.6
46105,18.3
46103,27.0
46127,33.9
47031,18.3
47047,23.3
47067,9.9
47073,12.1
47091,7.9
47103,16.5
34029,27.3
47111,7.1
47127,14.2
47147,14.9
47051,18.4
47009,21.9
47021,19.4
47019,14.2
47057,9.4
47055,13.5
47097,8.4
47099,11.2
47113,24.9
47115,14.3
47133,13.6
47137,13.6
47181,6.4
47187,57.1
47003,12.8
47059,14.3
47035,20.9
47175,11.1
47025,9.9
47081,10.1
47085,14.7
47039,12.3
47155,15.3
47161,13.8
47023,12.2
47087,7.0
47109,11.6
47145,18.1
47011,19.7
47063,16.3
47173,8.7
47071,12.0
47043,12.6
47129,6.1
47123,10.7
47079,17.0
47033,12.9
47095,7.0
47093,35.9
47107,16.6
47117,11.6
47143,12.1
47151,9.3
47001,24.6
47049,11.2
47053,14.8
47069,7.5
47105,28.5
47149,28.1
47159,9.1
47189,27.3
47171,15.0
35027,26.6
35005,17.8
35025,12.5
35049,38.6
47141,22.7
35059,15.8
35051,19.8
35053,20.2
35041,19.4
35013,27.4
35028,67.9
35039,14.5
35047,17.5
35061,14.2
35057,13.8
35001,32.6
35035,17.4
35006,9.2
35011,7.7
35019,12.3
35003,20.7
36005,16.1
36067,34.6
36019,19.3
36099,17.2
36079,36.7
36043,20.8
36069,30.4
36107,23.7
36041,21.5
36013,20.3
36047,31.2
36073,15.0
36091,38.4
36021,27.7
36049,13.1
36119,45.5
36025,18.9
36057,14.9
36085,29.6
36089,19.9
36109,50.5
36113,28.8
36023,20.4
36027,32.7
36055,37.2
36065,22.6
36111,28.1
36015,21.9
36051,22.3
36077,25.8
36039,18.2
36001,39.5
36003,17.4
36009,16.3
36053,25.6
36093,29.5
36037,18.0
36123,24.0
37079,8.5
36101,19.5
37121,16.0
37041,16.3
37005,16.8
37027,12.9
37035,22.1
37045,17.2
37049,20.6
37065,8.9
37077,14.7
37085,17.4
37093,16.8
37089,28.7
37095,9.5
37097,24.9
37119,42.7
37131,8.1
37147,28.0
37159,16.3
37181,12.0
37039,16.0
37053,18.5
37179,32.2
37193,11.5
37127,17.7
37003,12.9
34007,29.9
34023,41.8
34033,19.7
34009,30.8
34039,32.1
34017,38.0
34019,49.3
34027,52.0
35023,16.1
35031,10.8
35043,28.3
35017,23.2
35009,17.6
35015,15.8
35033,3.4
35045,15.1
29205,12.7
29225,12.6
29005,21.5
29013,11.7
29015,10.1
29035,15.0
29057,17.2
29115,11.6
29091,12.4
29101,24.3
29105,13.4
29125,11.8
29161,28.8
29165,39.5
29187,12.7
29510,30.6
34001,24.9
29003,21.5
29023,13.2
29033,14.8
29061,14.1
29087,15.0
29127,18.4
29151,15.7
29181,9.0
29219,15.2
29221,6.8
29043,26.8
29063,7.1
29081,11.1
29107,16.8
29001,26.4
29199,15.2
29211,10.3
29045,8.6
29097,20.7
29111,8.9
29119,12.2
29157,13.9
29167,14.1
29177,11.6
30041,22.5
30015,25.9
30099,22.7
30103,12.2
30005,12.6
30097,26.2
30079,12.6
30035,17.8
30025,19.0
30037,19.8
30093,23.5
30095,21.6
30043,33.5
30039,24.9
30107,19.0
30057,28.4
30091,17.9
30011,16.7
30003,15.5
30047,24.9
30049,38.6
41015,21.5
41021,17.0
41027,31.3
41037,16.6
41051,38.9
42103,21.1
42109,16.4
42115,15.7
42039,19.0
42049,25.0
42057,11.8
42067,12.1
42107,14.0
42131,16.4
42001,20.5
42005,13.9
42035,16.1
42025,15.4
42027,41.2
42097,13.5
42095,28.2
42121,15.7
30053,18.5
30067,30.5
42007,23.3
42069,26.2
42083,14.8
42051,13.7
42091,46.8
42033,12.1
42075,19.8
42081,19.6
42093,28.8
42123,18.2
42019,31.5
42047,15.5
42071,24.8
42085,21.2
42105,15.7
45005,8.3
44007,26.8
44001,44.9
45003,25.1
45037,18.6
45023,12.3
45029,13.1
45067,11.9
45063,29.0
45073,24.1
45015,19.9
45019,40.0
45043,24.4
45069,6.2
45007,19.9
45025,10.5
45047,23.2
45051,23.4
45055,18.1
45075,15.5
45083,21.8
45009,16.7
45013,40.0
45017,14.6
45033,7.1
45081,10.2
45079,36.0
45039,12.2
45049,8.9
45045,33.2
45057,20.9
45035,24.6
45041,22.0
45059,13.3
45065,16.8
45077,23.6
45087,12.9
45089,8.6
46003,17.2
46051,15.9
46123,21.4
46113,9.7
46137,9.0
46115,20.1
46015,23.0
42117,17.2
44005,47.2
46011,39.5
46053,17.3
46057,17.8
46099,28.6
46033,24.2
46025,18.9
46049,13.6
46077,24.2
46129,24.4
28061,11.1
28009,10.0
28037,12.5
28027,17.5
28067,16.0
28147,10.5
28095,14.4
28115,11.0
28051,11.3
28005,9.5
28089,46.7
28013,9.2
28091,11.9
28141,11.8
28153,8.2
28041,6.3
28093,10.2
28119,11.5
28109,13.3
28079,9.1
28099,12.5
28121,28.0
28151,16.6
28077,11.4
28111,6.8
28017,9.4
28015,10.2
28039,11.0
28043,14.3
28063,12.5
28101,15.6
28117,10.4
28125,11.6
28019,10.5
28045,23.0
28057,13.3
28055,4.4
28059,20.0
28083,17.2
28143,16.7
28021,11.8
28047,20.1
28075,18.2
28085,12.6
28127,12.0
28159,14.6
28007,15.8
28073,35.6
28081,22.5
28135,6.9
28129,10.5
28149,24.4
28023,9.7
28097,14.2
28105,40.3
42043,29.7
28025,18.6
28031,11.1
28053,10.1
42055,18.3
42119,19.1
42127,17.6
42009,13.3
42089,22.8
42061,12.3
42125,27.8
42101,24.4
42133,22.2
42063,22.2
42041,34.6
42003,38.7
42129,27.2
42053,7.1
42013,19.1
42073,20.0
42015,15.1
42021,19.0
42029,49.8
42011,22.2
42087,12.6
29129,14.6
29229,11.3
29047,31.0
29065,12.1
29195,14.7
29227,12.9
29079,16.2
29141,11.6
29179,5.4
29189,43.8
29209,16.1
29009,12.2
29019,47.5
29051,29.4
29055,11.5
29093,10.6
29117,17.9
28155,19.8
28003,15.8
29135,15.6
29155,11.7
29159,15.0
29203,12.1
29175,13.4
29069,9.9
29071,17.8
29089,21.2
29095,28.0
29131,14.9
29171,13.4
29213,19.0
29021,17.2
29025,11.9
29137,12.2
29059,12.4
29085,8.1
29113,12.5
29145,18.2
29163,9.8
29183,36.9
29031,29.0
30073,23.9
30111,28.2
30063,38.2
30081,24.3
30105,16.5
30013,26.1
30027,29.8
30033,13.1
30061,12.4
30069,13.3
30077,19.2
30089,15.2
30109,19.4
30031,45.4
30059,15.7
30009,28.0
30001,29.9
30029,28.7
30065,11.2
31083,14.3
31185,26.2
31019,32.7
31037,13.1
31087,13.6
31141,21.6
31143,19.7
31013,14.5
31017,22.9
31161,22.4
31109,35.2
31129,16.5
31007,10.6
31063,17.0
31055,36.6
31147,18.3
29037,22.9
29049,16.9
31089,17.0
31065,21.6
31151,13.4
31173,12.5
31177,28.0
31031,20.6
31053,18.5
31069,22.6
31123,15.9
31127,27.3
31171,14.6
31043,11.9
31003,14.6
31029,18.2
21191,9.3
21201,11.4
21207,10.7
21215,17.0
21229,16.1
21011,9.6
21087,10.4
21007,12.6
21009,13.7
21021,21.9
21091,13.3
21095,10.5
21159,6.0
21093,22.0
21137,8.9
21149,10.3
21171,12.1
21183,6.0
21197,12.1
21233,7.4
21033,13.2
21045,6.8
21047,15.8
21085,8.0
21103,11.9
21107,12.9
21125,11.1
21157,15.3
21173,17.9
21181,12.0
21187,13.2
21209,27.2
21227,25.9
21017,13.8
21019,16.3
21055,9.9
21067,41.7
21115,9.5
21165,10.8
21175,10.4
21193,11.7
21199,13.8
21051,8.2
21001,12.5
21025,10.1
21083,15.6
21099,8.5
21031,6.5
21223,12.6
21097,13.4
21105,9.6
21143,17.5
21231,8.5
21135,9.7
21221,16.7
21239,30.9
21131,4.9
21113,27.3
21127,10.5
21139,10.0
21145,23.0
21211,26.1
21235,12.8
20115,20.9
20013,22.2
20161,45.6
20041,18.5
21079,17.6
21037,28.4
21081,11.1
21141,11.4
21167,17.9
21225,10.3
21035,28.0
21059,19.5
21101,15.7
21109,7.5
21163,12.6
21185,37.1
21005,15.9
21027,8.8
21071,10.2
21075,11.2
21203,7.9
21003,11.4
21029,11.7
21119,10.2
21177,6.4
21237,9.0
21013,9.8
21057,10.0
21129,4.7
21061,9.8
21023,11.6
21179,14.7
21155,9.5
21015,32.1
21121,7.9
21133,10.9
21195,11.8
21077,8.0
22115,18.1
22085,13.5
22053,13.4
22125,14.7
22013,11.5
22023,10.0
22075,12.2
22117,8.9
