fips,edu_2022
01001,29.6
01003,32.6
01005,11.9
01007,10.9
01009,14.7
01011,9.4
01013,13.0
01015,19.2
01017,12.7
01019,14.6
01021,14.0
01023,13.0
01025,13.8
01027,12.8
01029,16.5
01031,21.6
01033,18.0
01035,13.3
01037,10.6
01039,16.3
01041,17.2
01043,18.3
01045,19.2
01047,15.7
01049,14.1
01051,24.2
01053,12.6
01055,17.7
01057,13.0
01059,14.8
01061,13.9
01063,16.7
01065,16.4
01067,21.0
01069,22.5
01071,16.2
01073,35.6
01075,10.2
01077,25.8
01079,15.8
01081,40.2
01083,29.5
01085,16.3
01087,20.6
01089,45.1
01091,22.0
01093,11.8
01095,21.4
01097,24.2
01099,13.5
01101,33.7
01103,23.8
01105,15.2
01107,14.5
01109,27.7
01111,18.8
01113,16.4
01115,19.3
01117,45.6
01119,21.8
01121,16.6
01123,18.2
01125,30.9
01127,15.3
01129,14.2
01131,11.6
01133,13.8
02013,16.9
02016,15.4
02020,37.0
02050,9.7
02060,26.3
02063,31.5
02066,28.1
02068,25.1
02070,20.5
02090,32.9
02100,33.7
02105,27.5
02110,40.7
02122,28.0
02130,28.5
02150,28.5
02158,4.6
02164,15.5
02170,23.7
02180,18.3
02185,14.2
02188,15.2
02195,24.8
02198,19.4
02220,34.2
02230,27.8
02240,19.8
02275,18.0
02282,10.8
02290,14.1
04001,13.8
04003,26.7
04005,39.6
04007,18.1
04009,14.0
04011,16.7
04012,12.4
04013,35.0
04015,14.4
04017,17.3
04019,35.0
04021,21.4
04023,23.5
04025,28.7
04027,16.4
05001,15.8
05003,11.6
05005,18.2
05007,35.5
05009,16.6
05011,12.5
05013,12.5
05015,21.4
05017,17.6
05019,26.4
05021,15.4
05023,17.2
05025,15.9
05027,19.0
05029,19.1
05031,28.2
05033,20.3
05035,17.6
05037,16.1
05039,13.0
05041,13.1
05043,25.0
05045,32.5
05047,12.3
05049,14.4
05051,25.2
05053,18.8
05055,16.6
05057,15.8
05059,15.5
05061,15.0
05063,17.1
05065,18.9
05067,11.9
05069,20.2
05071,15.0
05073,10.6
05075,12.9
05077,7.7
05079,8.1
05081,15.9
05083,14.3
05085,19.9
05087,12.3
05089,15.2
05091,15.6
05093,14.8
05095,14.2
05097,16.4
05099,10.9
05101,14.8
